2022-05-18 23:05:119 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 23:05:00 INFO  LoginPage :31 - enter Username Field : [[ChromeDriver: chrome on WINDOWS (04b87809f061744b06db7670393dbe15)] -> xpath: //input[@id='user-name']]
2022-05-18 23:05:145 INFO  LoginPage :35 - enter Password Field : [[ChromeDriver: chrome on WINDOWS (04b87809f061744b06db7670393dbe15)] -> xpath: //input[@id='password']]
2022-05-18 23:05:254 INFO  LoginPage :43 - click on loginbutton : [[ChromeDriver: chrome on WINDOWS (04b87809f061744b06db7670393dbe15)] -> xpath: //input[@id='login-button']]
2022-05-19 01:05:693 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 01:05:502 INFO  LoginPage :30 - enter Username Field : [[ChromeDriver: chrome on WINDOWS (a19b92504dff354b94218ccd1caaa8d2)] -> xpath: //input[@id='user-name']]
2022-05-19 01:05:601 INFO  LoginPage :34 - enter Password Field : [[ChromeDriver: chrome on WINDOWS (a19b92504dff354b94218ccd1caaa8d2)] -> xpath: //input[@id='password']]
2022-05-19 01:05:680 INFO  LoginPage :42 - click on loginbutton : [[ChromeDriver: chrome on WINDOWS (a19b92504dff354b94218ccd1caaa8d2)] -> xpath: //input[@id='login-button']]
2022-05-19 01:05:506 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 01:05:450 INFO  LoginPage :30 - enter Username Field : [[ChromeDriver: chrome on WINDOWS (a8b4b6932b1aa7d6096690e808d56576)] -> xpath: //input[@id='user-name']]
2022-05-19 01:05:554 INFO  LoginPage :34 - enter Password Field : [[ChromeDriver: chrome on WINDOWS (a8b4b6932b1aa7d6096690e808d56576)] -> xpath: //input[@id='password']]
2022-05-19 01:05:653 INFO  LoginPage :42 - click on loginbutton : [[ChromeDriver: chrome on WINDOWS (a8b4b6932b1aa7d6096690e808d56576)] -> xpath: //input[@id='login-button']]
2022-05-19 01:05:164 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 01:05:555 INFO  LoginPage :30 - enter Username Field : [[ChromeDriver: chrome on WINDOWS (6f788e2606baff9c84c39ee53c98b2cf)] -> xpath: //input[@id='user-name']]
2022-05-19 01:05:647 INFO  LoginPage :34 - enter Password Field : [[ChromeDriver: chrome on WINDOWS (6f788e2606baff9c84c39ee53c98b2cf)] -> xpath: //input[@id='password']]
2022-05-19 01:05:725 INFO  LoginPage :42 - click on loginbutton : [[ChromeDriver: chrome on WINDOWS (6f788e2606baff9c84c39ee53c98b2cf)] -> xpath: //input[@id='login-button']]
2022-05-19 02:05:571 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 02:05:182 INFO  LoginPage :30 - enter Username Field : [[ChromeDriver: chrome on WINDOWS (86695436076d2c9639dc0dc1d01ab8a2)] -> xpath: //input[@id='user-name']]
2022-05-19 02:05:276 INFO  LoginPage :34 - enter Password Field : [[ChromeDriver: chrome on WINDOWS (86695436076d2c9639dc0dc1d01ab8a2)] -> xpath: //input[@id='password']]
2022-05-19 02:05:363 INFO  LoginPage :42 - click on loginbutton : [[ChromeDriver: chrome on WINDOWS (86695436076d2c9639dc0dc1d01ab8a2)] -> xpath: //input[@id='login-button']]
2022-05-19 13:05:924 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 13:05:17 INFO  LoginPage :30 - enter Username Field : [[ChromeDriver: chrome on WINDOWS (7872aa12702623fdf6001197d76e4da3)] -> xpath: //input[@id='user-name']]
2022-05-19 13:05:190 INFO  LoginPage :34 - enter Password Field : [[ChromeDriver: chrome on WINDOWS (7872aa12702623fdf6001197d76e4da3)] -> xpath: //input[@id='password']]
2022-05-19 13:05:367 INFO  LoginPage :42 - click on loginbutton : [[ChromeDriver: chrome on WINDOWS (7872aa12702623fdf6001197d76e4da3)] -> xpath: //input[@id='login-button']]
2022-05-19 13:05:425 INFO  ProductPage :30 - select from dropdown list[]
2022-05-19 13:05:784 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 13:05:178 INFO  LoginPage :30 - enter Username Field : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //input[@id='user-name']]
2022-05-19 13:05:274 INFO  LoginPage :34 - enter Password Field : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //input[@id='password']]
2022-05-19 13:05:422 INFO  LoginPage :42 - click on loginbutton : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //input[@id='login-button']]
2022-05-19 13:05:471 INFO  ProductPage :32 - select from dropdown list[[[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //select[@class='product_sort_container']]]
2022-05-19 13:05:631 INFO  ProductPage :40 - select the product and add to cartADD TO CART
2022-05-19 13:05:768 INFO  CheckOutPage :45 - click On Open Shoppingcart : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[1]/div[3]/a[1]]
2022-05-19 13:05:837 INFO  CheckOutPage :49 - click On checkOut : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //button[@id='checkout']]
2022-05-19 13:05:936 INFO  CheckOutPage :53 - enter First name : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //input[@id='first-name']]
2022-05-19 13:05:15 INFO  CheckOutPage :57 - enter Last name : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //input[@id='last-name']]
2022-05-19 13:05:87 INFO  CheckOutPage :61 - enter Zip code : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //input[@id='postal-code']]
2022-05-19 13:05:166 INFO  CheckOutPage :70 - click On Contonue : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //input[@id='continue']]
2022-05-19 13:05:237 INFO  CheckOutPage :74 - click On Finishbutton : [[ChromeDriver: chrome on WINDOWS (66b4c0750dfd8d66cee51a3283271dba)] -> xpath: //button[@id='finish']]
2022-05-19 13:05:495 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 13:05:715 INFO  LoginPage :30 - enter Username Field : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //input[@id='user-name']]
2022-05-19 13:05:800 INFO  LoginPage :34 - enter Password Field : [[ChromeDriver: chrome on WINDOWS (01d546e1a207656d94f750c642137a88)] -> xpath: //input[@id='password']]
